馬來西亞 Malaysia,#genre#
TV8,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=TV8
AEC,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=AEC
華麗台 HD,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Wlt
歡喜台 HD,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Huahee
歡喜台(備用),http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Huahee_backup
Astro QJ,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Quanjia
TVB Jade,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Tvbjade
TVBS Asia,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Tvbasia
TVB Entertainment,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Tvbentertainment
TVB Classic,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Tvbclassic
AOD,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=AodHD
TVB 星河台,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Xinhe
愛奇藝,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Qiyi
Celestial Classic,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Celestial2
One,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=One_mega
TV1,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=TV1
TV1(備用),http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=TV1_backup
TV2,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=TV2
TV3,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=TV3
TV3(備用),http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=tv3_twn
NTV7,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=NTV7
TV9,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=TV9
Warna,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Warna-O
Warna(備用),http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Warna
Ria,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Ria-0
Ria(備用),http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Ria49
Ria-3,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Ria_quanjia
Al-Hijrah,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Alhijrah
Al-Hijrah(備用),http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Alhijrah_backup
Awani,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Awani
Bernama,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Bernama
Prima,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Prima-0
Prima(備用),http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Prima49
Ceria,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Ceria
Astro MTV,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=AstroMTV
Mecca Live HD,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=quran_mido
Madinah HD,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=sunnah_mido
Oasis,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Oasis
HBO HD,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Hbo
HBO Signature,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Hbosignature
HBO Hits,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Hbohits
NatGeo Wild HD,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Natgeowild
