电视公告,#genre#
王子提醒,http://mobi.kuwo.cn/tmevideo/tme1257697.mp4
影视免费,https://vd3.bdstatic.com/mda-mh8j8egnj8idbvd8/1080p/cae_h264/1629367979662473678/mda-mh8j8egnj8idbvd8.mp4
拒绝收费 ,https://vdse.bdstatic.com//57680322e35a26f457f92f022581e9e1.mp4
轮播频道,#genre#
如有扫码打赏  ,
都是骗人的  ，
虎牙轮播
亮剑,http://file.dokor.cn:35455/huya/30080238
民兵葛二蛋,http://file.dokor.cn:35455/huya/11602072
鹿鼎记,http://file.dokor.cn:35455/huya/23650774
新鹿鼎记,http://file.dokor.cn:35455/huya/11342388
三国演义,http://file.dokor.cn:35455/huya/11602081
新三国演义,http://file.dokor.cn:35455/huya/11352944
水浒传,http://file.dokor.cn:35455/huya/26355860
新水浒传,http://file.dokor.cn:35455/huya/11342384
西游记,http://file.dokor.cn:35455/huya/20985836
封神榜,http://file.dokor.cn:35455/huya/20432237
寻秦记,http://file.dokor.cn:35455/huya/30080146
大宋提刑官,http://file.dokor.cn:35455/huya/26355856
周星驰电影,http://file.dokor.cn:35455/huya/11342412
家有儿女,http://file.dokor.cn:35455/huya/11352872
问心,http://file.dokor.cn:35455/huya/11352890
你是我的荣耀,http://file.dokor.cn:35455/huya/11352920
与凤行,http://file.dokor.cn:35455/huya/26355866
我和僵尸有个约会,http://file.dokor.cn:35455/huya/21059571
美人心计,http://file.dokor.cn:35455/huya/26355837
延禧攻略,http://file.dokor.cn:35455/huya/26355864
读心专家,http://file.dokor.cn:35455/huya/30590779
如懿传,http://file.dokor.cn:35455/huya/29465868
爱情公寓,http://file.dokor.cn:35455/huya/11336726
还珠格格,http://file.dokor.cn:35455/huya/30080241
创世纪,http://file.dokor.cn:35455/huya/29465852
笑傲江湖,http://file.dokor.cn:35455/huya/26355790
倚天屠龙记,http://file.dokor.cn:35455/huya/11342403
雪山飞狐,http://file.dokor.cn:35455/huya/23734176
歪歪轮播
狂飙,http://live.chinacert.cftest5.cn/yy/1354936131
新白娘子传奇,http://live.chinacert.cftest5.cn/yy/1354490667
康熙微服私访记,http://live.chinacert.cftest5.cn/yy/1352811698
射雕英雄传83版,http://live.chinacert.cftest5.cn/yy/1354210357
神雕侠侣,http://live.chinacert.cftest5.cn/yy/1351762426
天龙八部,http://live.chinacert.cftest5.cn/yy/1351814644
隋唐英雄传,http://live.chinacert.cftest5.cn/yy/1352475619
春节新电影,#genre#
我们的爱,https://cdn.yzzy31-play.com/20260215/14547_72893fc0/2100k/hls/mixed.m3u8
熊出没·年年有熊,https://vip.ffzy-play10.com/20260218/49186_d52999d6/2000k/hls/mixed.m3u8
镖人：风起大漠,https://vip.ffzy-play10.com/20260218/49180_048bb2f9/2000k/hls/mixed.m3u8
飞驰人生3,https://vip.ffzy-play10.com/20260218/49184_5290f86d/2000k/hls/mixed.m3u8
消失的证据,https://cdn.yzzy29-play.com/20260218/20439_deceadec/2000k/hls/mixed.m3u8
引魂灯2,https://vip.ffzy-video.com/20260218/37903_3f66b796/2000k/hls/mixed.m3u8
4K测试,#genre#
高清tv测试,http://198.204.240.250:82/live/cctv8k.m3u8?jsbt=1772371996&jsbk=8c2b02a1ec104d91615b318cd81edbbf
湖南卫视4K,http://hlsal-ldvt.qing.mgtv.com/nn_live/nn_x64/Y2RuZXhfaWQ9YWxfaGxzX2xkdnQmZT02OTE0NjA0JnY9MSZpZD1ITldTWkdTVCZzPTcwN2RiYTc2YzJjNmJmMTQ4MmUyZGYzOWU2NWM3YWFi/HNWSZGST.m3u8
苏州4k,https://tylive.kan0512.com/norecord/csztv4k_4k.m3u8
河北4k,https://event.pull.hebtv.com:443/live/live101.m3u8
南国都市4K,https://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=550af55c0ea34ce492748481415b6dfa&txTime=1903e7b17de$LR•IPV4
深圳卫视4K,http://nn.7x9d.cn/深圳最新.php?id=szws4k$LR•IPV4•9『线路1』
北京卫视频4k,http://106.53.99.30/tv/bj.php?id=bjws4k
东方卫视频4k,http://106.53.99.30/tv/api.php?id=dfws4k
浙江卫视频4k,http://play-qukan.cztv.com/live/1758879019692345.m3u8
湖南卫视频4k,http://106.53.99.30/tv/api.php?id=hnws4k
河北4K,https://event.pull.hebtv.com:443/live/live101.m3u8
苏州4K,https://tylive.kan0512.com/norecord/csztv4k_4k.m3u8
河北4K,https://event.pull.hebtv.com:443/live/live101.m3u8
