经典歌曲,#genre#
如果人间是乐土 魏佳艺,http://files.catbox.moe/avo2ed.mp4
不觉已中年 魏佳艺,http://files.catbox.moe/37k209.mp4
来时人间去时尘 魏佳艺,http://files.catbox.moe/p08lfp.mp4
爭不过岁月傲不过时间 魏佳艺,http://files.catbox.moe/5xjx1t.mp4
半生走过 魏佳艺,http://files.catbox.moe/gitwk3.mp4
我来人间一趟 魏佳艺,http://files.catbox.moe/cpidzk.mp4
倘若家乡能安身 魏佳艺,http://files.catbox.moe/2yz5rx.mp4
举杯敬往后 魏佳艺,http://files.catbox.moe/ufw2s8.mp4
提笔写遗憾 魏佳艺,http://files.catbox.moe/q4hdzy.mp4
敬以后 魏佳艺,http://files.catbox.moe/syvu5y.mp4
心锁 魏佳艺,http://files.catbox.moe/z6ktkm.mp4
忘川的河 魏佳艺,http://files.catbox.moe/lvcooc.mp4
人生苦短几十年 魏佳艺,http://files.catbox.moe/sxaioq.mp4
掌心之中 魏佳艺,http://files.catbox.moe/ft3h8x.mp4
五百年回眸 魏佳艺,http://files.catbox.moe/czaxd7.mp4
千杯忘情酒 魏佳艺,http://files.catbox.moe/k701wu.mp4
听心 魏佳艺,http://files.catbox.moe/90l0f7.mp4
生活一地鸡毛不要慌 魏佳艺,http://files.catbox.moe/j5ft88.mp4
最大的牵挂 苏谭谭,http://files.catbox.moe/nm9evv.mp4
别为难自己 苏谭谭,http://files.catbox.moe/tdanx7.mp4
来生不走人间路 大麦,http://files.catbox.moe/e2imdu.mp4
有钱就花 媛小小,http://files.catbox.moe/5vinn3.mp4
好想跟自己说声对不起 恋特特,http://files.catbox.moe/8kszl6.mp4
你是我唯一的执着 思思,http://files.catbox.moe/497bnr.mp4
